q;i1;i2;s1;s2;s3;v1;v2;rt1;rt2;st1;st2;sl1;sl2;tan1;tan2;y;m
828;36;8;1200;1600;1300;7,894736842105263;7,894736842105263;38;38;13;0;1300;0;0;0;0,785;1300,5264318728782
830;36;8;1229;1250;950;8,571428571428571;7,894736842105263;35;38;10;0;950;0;0;0;0,7875;950,7041905407257
832;36;8;1229;1250;950;8,571428571428571;7,894736842105263;35;38;10;0;950;0;0;0;0,79;950,7041905407257
834;36;8;1434;1645;1045;8,333333333333334;7,894736842105263;36;38;11;0;1045;0;0;0;0,7925;1045,7457589523767
836;37;8;696;1600;1000;8,571428571428571;7,894736842105263;35;38;10;0;1000;0;0;0;0,795;1000,4026478931853
838;37;8;696;1600;1000;8,571428571428571;7,894736842105263;35;38;10;0;1000;0;0;0;0,7975;1000,4026478931853
840;37;8;824;1400;1100;8,333333333333334;7,894736842105263;36;38;11;0;1100;0;0;0;0,8;1100,4313664953768
842;37;8;824;1400;1100;8,333333333333334;7,894736842105263;36;38;11;0;1100;0;0;0;0,8025;1100,4313664953768
844;37;8;824;1400;1100;8,333333333333334;7,894736842105263;36;38;11;0;1100;0;0;0;0,805;1100,4313664953768
846;37;8;1000;1200;1200;8,108108108108109;7,894736842105263;37;38;12;0;1200;0;0;0;0,8075;1200,4770074963105
848;37;8;1000;1200;1200;8,108108108108109;7,894736842105263;37;38;12;0;1200;0;0;0;0,81;1200,4770074963105
850;37;8;1200;1600;1300;7,894736842105263;7,894736842105263;38;38;13;0;1300;0;0;0;0,8125;1300,5264318728782
852;37;8;1200;1600;1300;7,894736842105263;7,894736842105263;38;38;13;0;1300;0;0;0;0,815;1300,5264318728782
854;37;8;1200;1600;1300;7,894736842105263;7,894736842105263;38;38;13;0;1300;0;0;0;0,8175;1300,5264318728782
856;37;8;1400;2000;1400;7,6923076923076925;7,894736842105263;39;38;14;0;1400;0;0;0;0,82;1400,5702556378815
858;38;8;900;1860;1260;8,108108108108109;7,894736842105263;37;38;12;0;1260;0;0;0;0,8225;1260,4146323838427
